"","CASE#","PRIMARY DESCRIPTION","ARREST","LATITUDE","LONGITUDE"
"238","JE133730","HOMICIDE","Y",41.910800166,-87.745899903
"239","JE133341","HOMICIDE","N",41.767453861,-87.685761929
"240","JE201790","HOMICIDE","N",41.678387951,-87.662495643
"241","JE108124","HOMICIDE","Y",41.803181616,-87.585432024
"242","JD317098","HOMICIDE","Y",41.782078079,-87.7020077
"243","JE133828","HOMICIDE","N",41.851727741,-87.708513726
"244","JE299688","HOMICIDE","N",41.818948552,-87.626336787
"245","JE182083","HOMICIDE","Y",41.998283492,-87.704554719
"246","JE116833","HOMICIDE","N",41.86371391,-87.722659484
"247","JE135055","HOMICIDE","N",41.875559923,-87.745088126
"248","JE135554","HOMICIDE","N",41.754703829,-87.566292464
"249","JE136346","HOMICIDE","N",41.761833522,-87.58966934
"250","JE136378","HOMICIDE","N",41.781534778,-87.605955453
"251","JE118685","HOMICIDE","N",41.775729869,-87.672132329
"252","JE146555","HOMICIDE","N",41.750226609,-87.673482519
"253","JD386844","HOMICIDE","N",41.781000384,-87.689299416
"254","JD417014","HOMICIDE","Y",41.86438533,-87.721970252
"255","JE191618","HOMICIDE","N",41.884964505,-87.756456004
"256","JE165280","HOMICIDE","N",41.779691346,-87.724010936
"257","JE108294","HOMICIDE","N",41.877826291,-87.701117596
"258","JE252857","HOMICIDE","N",41.77268594,-87.605758495
"259","JE148664","HOMICIDE","Y",41.759204719,-87.653961386
"260","JE223102","HOMICIDE","Y",41.838085292,-87.643190224
"261","JE165303","HOMICIDE","N",41.852093206,-87.729641193
"262","JE136516","HOMICIDE","Y",41.894346275,-87.712619863
"263","JE164994","HOMICIDE","N",41.750503234,-87.587271496
"264","JE148087","HOMICIDE","N",41.83900622,-87.707668681
"265","JD340988","HOMICIDE","Y",41.882653425,-87.771874513
"266","JE138253","HOMICIDE","N",41.823814476,-87.618409866
"267","JE119606","HOMICIDE","N",41.862942242,-87.707270181
"268","JE119595","HOMICIDE","N",41.783234302,-87.610867758
"269","JE220914","HOMICIDE","N",41.877933236,-87.729141019
"270","JE202539","HOMICIDE","Y",41.808839679,-87.610191315
"271","JE203407","HOMICIDE","N",41.8804407,-87.749684919
"272","JD303327","HOMICIDE","N",41.687366059,-87.648307118
"273","JE203123","HOMICIDE","Y",41.86640116,-87.705973505
"274","JE189464","HOMICIDE","N",41.724465094,-87.655455745
"275","JD304212","HOMICIDE","N",41.857655711,-87.676608095
"276","JE188855","HOMICIDE","N",41.697980205,-87.629084036
"277","JE189165","HOMICIDE","N",41.835193736,-87.716674135
"278","JD304324","HOMICIDE","N",41.865585015,-87.697787226
"279","JE189658","HOMICIDE","N",41.769874082,-87.656671484
"280","JE189539","HOMICIDE","N",41.906962748,-87.701271041
"281","JE189264","HOMICIDE","N",41.683987312,-87.626476317
"282","JD461462","HOMICIDE","Y",41.812596485,-87.705365334
"283","JE120598","HOMICIDE","N",41.678980773,-87.619674748
"284","JE120562","HOMICIDE","N",41.774341163,-87.733626318
"285","JE119998","HOMICIDE","N",41.880628389,-87.733911427
"286","JE215086","HOMICIDE","Y",41.749002933,-87.601481873
"287","JE220047","HOMICIDE","N",41.827272785,-87.633198086
"288","JE253029","HOMICIDE","N",41.889858855,-87.684222291
"289","JE254042","HOMICIDE","N",41.791664664,-87.665738295
"290","JE190673","HOMICIDE","N",41.793667944,-87.663843592
"291","JE203270","HOMICIDE","N",41.892756481,-87.70891469
"292","JE253944","HOMICIDE","Y",41.907680799,-87.756347051
"293","JE121437","HOMICIDE","N",41.673689531,-87.628543613
"294","JE108328","HOMICIDE","Y",41.972643293,-87.661711479
"295","JD304453","HOMICIDE","N",41.87579351,-87.723062233
"296","JD301394","HOMICIDE","Y",41.89182683,-87.713084988
"297","JE173701","HOMICIDE","N",41.884249627,-87.704443837
"298","JE156497","HOMICIDE","Y",41.767191574,-87.572664894
"299","JD389456","HOMICIDE","Y",41.904129601,-87.749799834
"300","JD468564","HOMICIDE","Y",41.891826532,-87.713029899
"301","JE103396","HOMICIDE","Y",41.751862382,-87.619787884
"302","JE163151","HOMICIDE","Y",41.894858704,-87.764396029
"303","JE149236","HOMICIDE","N",41.759444161,-87.596627814
"304","JE237102","HOMICIDE","N",41.761172356,-87.588430774
"305","JD303327","HOMICIDE","N",41.687366059,-87.648307118
"306","JE237082","HOMICIDE","N",41.784294223,-87.654620576
"307","JE237167","HOMICIDE","N",41.876860157,-87.743912207
"308","JE190809","HOMICIDE","Y",41.87188478,-87.760168151
"309","JE173689","HOMICIDE","Y",42.007820636,-87.671077348
"310","JE191249","HOMICIDE","N",41.752804787,-87.554059932
"311","JE191686","HOMICIDE","N",41.862526771,-87.704058362
"312","JE188599","HOMICIDE","Y",41.88399199,-87.677998349
"313","JE285589","HOMICIDE","N",41.798464956,-87.685380138
"314","JE286205","HOMICIDE","N",41.875256576,-87.726346274
"315","JE154725","HOMICIDE","Y",41.727992013,-87.642175432
"316","JE174425","HOMICIDE","N",41.831959155,-87.620568542
"317","JD400319","HOMICIDE","Y",41.826099916,-87.684907104
"318","JE151419","HOMICIDE","N",41.801150088,-87.619384368
"319","JE190772","HOMICIDE","N",41.703073446,-87.602673084
"320","JD413988","HOMICIDE","Y",41.750657714,-87.614956494
"321","JE254066","HOMICIDE","N",41.866944067,-87.659859854
"322","JE200739","HOMICIDE","Y",41.701825336,-87.560798502
"323","JE238122","HOMICIDE","N",41.890703831,-87.70640419
"324","JE136065","HOMICIDE","Y",41.729559728,-87.651943841
"325","JE285507","HOMICIDE","N",41.688249045,-87.627780633
"326","JE284648","HOMICIDE","N",41.8635688,-87.710457968
"327","JE285912","HOMICIDE","Y",41.991404284,-87.656853651
"328","JE285670","HOMICIDE","N",41.771057658,-87.582583015
"329","JD431149","HOMICIDE","Y",41.745534109,-87.598897554
"330","JE223095","HOMICIDE","N",41.881147603,-87.769790893
"331","JE206109","HOMICIDE","N",41.861806701,-87.7165066
"332","JE141194","HOMICIDE","Y",41.912925057,-87.773538131
"333","JD422184","HOMICIDE","N",41.755554244,-87.653867946
"334","JD461629","HOMICIDE","Y",41.964079335,-87.729519111
"335","JE206208","HOMICIDE","N",41.671884383,-87.630887549
"336","JE301622","HOMICIDE","N",41.877649878,-87.74272258
"337","JE202499","HOMICIDE","Y",41.872899368,-87.694491036
"338","JE301581","HOMICIDE","N",41.85826495,-87.709088822
"339","JE152400","HOMICIDE","N",41.884830727,-87.752781167
"340","JE206227","HOMICIDE","N",41.675947334,-87.617757237
"341","JE174979","HOMICIDE","N",41.910643177,-87.66688431
"342","JE287616","HOMICIDE","N",41.930993562,-87.73922826
"343","JD325772","HOMICIDE","Y",41.771259454,-87.687091027
"344","JE238122","HOMICIDE","N",41.890703831,-87.70640419
"345","JE175526","HOMICIDE","N",41.824933076,-87.623104662
"346","JE107997","HOMICIDE","Y",41.805211965,-87.585789862
"347","JE191820","HOMICIDE","N",41.750609338,-87.612490693
"348","JE192822","HOMICIDE","N",41.671168666,-87.657526862
"349","JE238268","HOMICIDE","N",41.8788547,-87.726943813
"350","JE153463","HOMICIDE","Y",41.778532435,-87.697030655
"351","JE253095","HOMICIDE","N",41.768315814,-87.634744943
"352","JE254231","HOMICIDE","N",41.904522401,-87.773016431
"353","JE238268","HOMICIDE","N",41.8788547,-87.726943813
"354","JE254898","HOMICIDE","N",41.776758052,-87.676275561
"355","JE238194","HOMICIDE","N",41.871644264,-87.724107724
"356","JE239109","HOMICIDE","N",41.793778713,-87.622443909
"357","JD369513","HOMICIDE","Y",41.968338342,-87.719171817
"358","JE243057","HOMICIDE","N",41.762674166,-87.632145073
"359","JD312535","HOMICIDE","Y",41.856044402,-87.710523643
"360","JE176509","HOMICIDE","N",41.809351171,-87.618691752
"361","JE207141","HOMICIDE","N",41.850824328,-87.690511777
"362","JE224104","HOMICIDE","N",41.880773152,-87.721810393
"363","JE176559","HOMICIDE","N",41.876952748,-87.736336193
"364","JE270685","HOMICIDE","N",41.749956477,-87.694146665
"365","JE224125","HOMICIDE","Y",41.892637979,-87.711350918
"366","JE153504","HOMICIDE","N",41.692358646,-87.623096746
"367","JE224145","HOMICIDE","N",41.873761627,-87.699545765
"368","JE239400","HOMICIDE","N",41.88096768,-87.737940272
"369","JE168409","HOMICIDE","Y",41.750548727,-87.593031862
"370","JE208283","HOMICIDE","N",41.783327093,-87.64887794
"371","JE193004","HOMICIDE","N",41.88096768,-87.737940272
"372","JD317103","HOMICIDE","Y",41.754920763,-87.565080452
"373","JE207921","HOMICIDE","N",41.705677782,-87.600944364
"374","JE176747","HOMICIDE","N",41.750832464,-87.605224746
"375","JD304982","HOMICIDE","N",41.776227084,-87.604618626
"376","JE240387","HOMICIDE","N",41.809717284,-87.628198973
"377","JE231510","HOMICIDE","N",41.876225829,-87.721791324
"378","JE240300","HOMICIDE","N",41.872630278,-87.718598203
"379","JE240387","HOMICIDE","N",41.809717284,-87.628198973
"380","JD422083","HOMICIDE","N",41.768848052,-87.643804533
"381","JE154611","HOMICIDE","N",41.729078381,-87.621879137
"382","JE155328","HOMICIDE","N",41.781874364,-87.587864899
"383","JD442193","HOMICIDE","Y",41.89778758,-87.715168733
"384","JE224341","HOMICIDE","N",41.86522282,-87.657421861
"385","JE174942","HOMICIDE","N",41.962472905,-87.757077358
"386","JE177363","HOMICIDE","Y",41.727123578,-87.629315348
"387","JE287792","HOMICIDE","N",41.690187887,-87.612081913
"388","JE287550","HOMICIDE","Y",41.738008783,-87.604863987
"389","JE154928","HOMICIDE","N",41.906298225,-87.773078049
"390","JE287680","HOMICIDE","N",41.858875885,-87.724228931
"391","JE224429","HOMICIDE","Y",41.791458525,-87.647515317
"392","JE194870","HOMICIDE","N",41.826358446,-87.633116323
"393","JE177954","HOMICIDE","N",41.762385599,-87.666177499
"394","JE241639","HOMICIDE","N",41.874699955,-87.683791888
"395","JE240540","HOMICIDE","N",41.917838056,-87.755968972
"396","JE178376","HOMICIDE","N",41.740486959,-87.648607569
"397","JD379655","HOMICIDE","Y",41.884747682,-87.75645061
"398","JD358144","HOMICIDE","N",41.864278228,-87.659660218
"399","JE209297","HOMICIDE","N",41.90086502,-87.724112886
"400","JE208468","HOMICIDE","N",41.879784857,-87.723806409
"401","JE210069","HOMICIDE","N",41.707359384,-87.610809656
"402","JE240575","HOMICIDE","N",41.884530833,-87.738685729
"403","JE178971","HOMICIDE","N",41.75667207,-87.562688288
"404","JE226157","HOMICIDE","N",41.894264459,-87.753129146
"405","JE287914","HOMICIDE","N",41.759293313,-87.643041842
"406","JD304271","HOMICIDE","N",41.888060953,-87.681724797
"407","JD304906","HOMICIDE","N",41.878030124,-87.721524427
"408","JE164965","HOMICIDE","Y",41.827094923,-87.62167185
"409","JE210794","HOMICIDE","N",41.825085871,-87.621631728
"410","JD304542","HOMICIDE","N",41.654094008,-87.606801963
"411","JE271002","HOMICIDE","N",41.795209941,-87.660974432
"412","JE156432","HOMICIDE","Y",41.663403306,-87.625793875
"413","JE179906","HOMICIDE","N",41.749995382,-87.685900777
"414","JD440137","HOMICIDE","Y",41.751452878,-87.624567581
"415","JE180555","HOMICIDE","N",41.68075847,-87.621785651
"416","JE242183","HOMICIDE","N",41.758273773,-87.554811094
"417","JE270867","HOMICIDE","N",41.779196943,-87.615602304
"418","JD430446","HOMICIDE","Y",41.786456541,-87.629058932
"419","JE227075","HOMICIDE","N",41.991057238,-87.699420817
"420","JE212290","HOMICIDE","N",41.740861086,-87.740060732
"421","JE212327","HOMICIDE","N",41.742813094,-87.647512893
"422","JE227114","HOMICIDE","N",41.857180265,-87.711995618
"423","JE241847","HOMICIDE","N",41.869565231,-87.743241256
"424","JE211329","HOMICIDE","N",41.809523402,-87.63826257
"425","JE190465","HOMICIDE","Y",41.782601671,-87.665505994
"426","JD464968","HOMICIDE","Y",41.900253905,-87.690541532
"427","JE182440","HOMICIDE","N",41.915479464,-87.715641007
"428","JE182514","HOMICIDE","N",41.677325876,-87.616577916
"429","JE227631","HOMICIDE","N",41.88100737,-87.703205068
"430","JE243607","HOMICIDE","N",41.756618673,-87.574871497
"431","JE301858","HOMICIDE","N",41.861791657,-87.721389237
"432","JE302365","HOMICIDE","N",41.753407263,-87.674439456
"433","JE181828","HOMICIDE","Y",41.707455731,-87.605637491
"434","JE195766","HOMICIDE","N",41.84894297,-87.733341125
"435","JE190306","HOMICIDE","Y",41.675219383,-87.638212387
"436","JE195887","HOMICIDE","N",41.772924892,-87.57647941
"437","JE289090","HOMICIDE","N",41.876024394,-87.692400002
"438","JD335093","HOMICIDE","N",41.847074361,-87.711205225
"439","JE287173","HOMICIDE","Y",41.81788468,-87.619825842
"440","JE229283","HOMICIDE","N",41.807577988,-87.615549695
"441","JE289027","HOMICIDE","N",41.781275961,-87.613225264
"442","JE229019","HOMICIDE","N",41.751268534,-87.606048047
"443","JE288866","HOMICIDE","N",41.816683943,-87.743385779
